verb_id,словарная_форма,чтение,romaji,значение_ru,jlpt,тип_глагола,основа_romaji,masu_основа,простая_прошедшая,te_форма,nai_форма,условная_ba,условная_tara,потенциальная_словарная,потенциальная_разг_без_ra,страдательная_словарная,побудительная_словарная,побудительно_страдательная_словарная,повелительная,запретительная,волевая,tai_база,nakereba,nakya,nakucha,ru_inf_ipf,ru_inf_pf,ru_present_1sg,ru_future_1sg,ru_past_ipf_mf,ru_past_pf_mf,ru_future_pf_1sg,ru_conditional_pf_1sg,ru_gerund_pf,ru_imperative_2sg,ru_1pl_pf,ru_passive_hint,ru_causative_hint,ru_causative_passive_hint,chunk_base_jp,chunk_neg_base_jp,chunk_dict_medium_jp,chunk_dict_medium_label,chunk_dict_hard_jp,chunk_dict_hard_label,chunk_masu_link_jp,chunk_masu_link_label,chunk_nai_link_jp,chunk_nai_link_label,chunk_ba_link_medium_jp,chunk_ba_link_medium_label,chunk_ba_link_hard_jp,chunk_ba_link_hard_label,chunk_te_medium_jp,chunk_te_medium_label,chunk_te_hard_jp,chunk_te_hard_label,chunk_ta_medium_jp,chunk_ta_medium_label,chunk_ta_hard_jp,chunk_ta_hard_label,chunk_potential_medium_jp,chunk_potential_medium_label,chunk_potential_hard_jp,chunk_potential_hard_label,chunk_passive_medium_jp,chunk_passive_medium_label,chunk_passive_hard_jp,chunk_passive_hard_label,chunk_causative_medium_jp,chunk_causative_medium_label,chunk_causative_hard_jp,chunk_causative_hard_label,chunk_causative_passive_medium_jp,chunk_causative_passive_medium_label,chunk_causative_passive_hard_jp,chunk_causative_passive_hard_label,chunk_imperative_medium_jp,chunk_imperative_medium_label,chunk_imperative_hard_jp,chunk_imperative_hard_label,chunk_volitional_medium_jp,chunk_volitional_medium_label,chunk_volitional_hard_jp,chunk_volitional_hard_label,chunk_stem_distractors_label,chunk_ranuki_medium_jp,chunk_ranuki_medium_label,chunk_ranuki_hard_jp,chunk_ranuki_hard_label,значение_ru_all,значение_ru_доп,ru_inf_ipf_all,ru_inf_pf_all,ru_present_1sg_all,ru_future_1sg_all,ru_past_ipf_mf_all,ru_past_pf_mf_all,ru_future_pf_1sg_all,ru_conditional_pf_1sg_all,ru_gerund_pf_all,ru_imperative_2sg_all,ru_1pl_pf_all,ru_display_infinitive,ru_display_perfective,ru_te_prompt,agentivity,ru_passive_prompt,passive_naturalness,passive_prompt_strategy,ru_causative_prompt,ru_causative_passive_prompt,train_general,train_potential,train_passive,train_passive_context,train_causative,train_causative_passive,train_imperative,train_volitional,train_desire,train_benefactive,train_request,train_advice,train_toki,ru_causative_alt_prompt
au,会う,あう,au,встречаться,N5,godan-u,a,会い,会った,会って,会わない,会えば,会ったら,会える,,会われる,会わせる,会わせられる,会え,会うな,会おう,会いたい,会わなければ,会わなきゃ,会わなくちゃ,встречаться,встретиться,встречаюсь,буду встречаться,встречался(ась),встретился(ась),встречусь,встречусь,встретившись,встреться,встретимся,Пассив: встречаться,заставить встретиться,быть вынужденным встретиться,会,会,う,u,う,u,い,i,わ,wa,え,e,え,e,って,tte,って,tte,った,tta,った,tta,え,e,え,e,われ,ware,わ|れ,wa|re,わせ,wase,わ|せ,wa|se,わせられ,waserare,わ|せ|ら|れ,wa|se|ra|re,え,e,え,e,おう,ou,お|う,o|u,wa|i|e|o,,,,,"встречаться, встречать",встречать,встречаться,встретиться,встречаюсь,буду встречаться,встречался(ась),встретился(ась),встречусь,встречусь,встретившись,встреться,встретимся,встречаться,встретиться,встретиться и затем…,agentive,Пассив: встречаться,contextual,grammar_label,заставить встретиться,быть вынужденным встретиться,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить встретиться
aku,開く,あく,aku,открываться,N5,godan-ku,ak,開き,開いた,開いて,開かない,開けば,開いたら,開ける,,開かれる,開かせる,開かせられる,開け,開くな,開こう,開きたい,開かなければ,開かなきゃ,開かなくちゃ,открываться,открыться,открывается,буду открываться,открывалось,открылось,откроется,откроется,открывшись,откройся,откроемся,Пассив: открываться,заставить открыться,быть вынужденным открыться,開,開,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,,открываться,,открываться,открыться,открывается,буду открываться,открывалось,открылось,откроется,откроется,открывшись,откройся,откроемся,открываться,открыться,открыться и затем…,agentive,Пассив: открываться,contextual,grammar_label,заставить открыться,быть вынужденным открыться,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить открыться
akeru,開ける,あける,akeru,открывать,N5,ichidan,ake,開け,開けた,開けて,開けない,開ければ,開けたら,開けられる,開けれる,開けられる,開けさせる,開けさせられる,開けろ,開けるな,開けよう,開けたい,開けなければ,開けなきゃ,開けなくちゃ,открывать,открыть,открываю,буду открывать,открывал(а),открыл(а),открою,открою,открыв,открой,откроем,быть открытым,заставить открыть,быть вынужденным открыть,開け,開け,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re,открывать,,открывать,открыть,открываю,буду открывать,открывал(а),открыл(а),открою,открою,открыв,открой,откроем,открывать,открыть,открыть и затем…,agentive,быть открытым,natural,natural,заставить открыть,быть вынужденным открыть,1,1,1,0,1,1,1,1,1,1,1,1,1,разрешить открыть
ageru,上げる,あげる,ageru,поднимать,N5,ichidan,age,上げ,上げた,上げて,上げない,上げれば,上げたら,上げられる,上げれる,上げられる,上げさせる,上げさせられる,上げろ,上げるな,上げよう,上げたい,上げなければ,上げなきゃ,上げなくちゃ,поднимать,поднять,поднимаю,буду поднимать,поднимал(а),поднял(а),подниму,подниму,подняв,подними,поднимем,Пассив: поднимать,заставить поднять,быть вынужденным поднять,上げ,上げ,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re,поднимать,,поднимать,поднять,поднимаю,буду поднимать,поднимал(а),поднял(а),подниму,подниму,подняв,подними,поднимем,поднимать,поднять,поднять и затем…,agentive,Пассив: поднимать,contextual,grammar_label,заставить поднять,быть вынужденным поднять,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить поднять
asobu,遊ぶ,あそぶ,asobu,играть,N5,godan-bu,asob,遊び,遊んだ,遊んで,遊ばない,遊べば,遊んだら,遊べる,,遊ばれる,遊ばせる,遊ばせられる,遊べ,遊ぶな,遊ぼう,遊びたい,遊ばなければ,遊ばなきゃ,遊ばなくちゃ,играть,поиграть,играю,буду играть,играл(а),поиграл(а),поиграю,поиграю,поиграв,играй,поиграем,Пассив: играть,заставить поиграть,быть вынужденным поиграть,遊,遊,ぶ,bu,ぶ,bu,び,bi,ば,ba,べ,be,べ,be,んで,nで,んで,nで,んだ,nだ,んだ,nだ,べ,be,べ,be,ばれ,bare,ば|れ,ba|re,ばせ,base,ば|せ,ba|se,ばせられ,baserare,ば|せ|ら|れ,ba|se|ra|re,べ,be,べ,be,ぼう,bou,ぼ|う,bo|u,ba|bi|be|bo,,,,,"играть, развлекаться",развлекаться,играть / развлекаться,поиграть / развлечься,играю / развлекаюсь,буду играть / развлекаться,играл(а) / развлекался(ась),поиграл(а) / развлёкся(лась),поиграю / развлекусь,поиграю / развлекусь,поиграв / развлёкшись,играй,поиграем,играть,поиграть,поиграть и затем…,agentive,Пассив: играть,contextual,grammar_label,заставить поиграть,быть вынужденным поиграть,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить поиграть
abiru,浴びる,あびる,abiru,принимать душ,N5,ichidan,abi,浴び,浴びた,浴びて,浴びない,浴びれば,浴びたら,浴びられる,浴びれる,浴びられる,浴びさせる,浴びさせられる,浴びろ,浴びるな,浴びよう,浴びたい,浴びなければ,浴びなきゃ,浴びなくちゃ,принимать душ,принять душ,принимаю душ,буду принимать душ,принимал(а) душ,принял(а) душ,приму душ,приму душ,приняв душ,прими душ,примем душ,Пассив: принимать душ,заставить принять душ,быть вынужденным принять душ,浴び,浴び,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re,принимать душ,,принимать душ,принять душ,принимаю душ,буду принимать душ,принимал(а) душ,принял(а) душ,приму душ,приму душ,приняв душ,прими душ,примем душ,принимать душ,принять душ,принять душ и затем…,agentive,Пассив: принимать душ,contextual,grammar_label,заставить принять душ,быть вынужденным принять душ,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить принять душ
arau,洗う,あらう,arau,мыть,N5,godan-u,ara,洗い,洗った,洗って,洗わない,洗えば,洗ったら,洗える,,洗われる,洗わせる,洗わせられる,洗え,洗うな,洗おう,洗いたい,洗わなければ,洗わなきゃ,洗わなくちゃ,мыть,помыть,мою,буду мыть,мыл(а),помыл(а),помою,помою,помыв,мой,помоем,Пассив: мыть,заставить помыть,быть вынужденным помыть,洗,洗,う,u,う,u,い,i,わ,wa,え,e,え,e,って,tte,って,tte,った,tta,った,tta,え,e,え,e,われ,ware,わ|れ,wa|re,わせ,wase,わ|せ,wa|se,わせられ,waserare,わ|せ|ら|れ,wa|se|ra|re,え,e,え,e,おう,ou,お|う,o|u,wa|i|e|o,,,,,мыть,,мыть,помыть,мою,буду мыть,мыл(а),помыл(а),помою,помою,помыв,мой,помоем,мыть,помыть,помыть и затем…,agentive,Пассив: мыть,contextual,grammar_label,заставить помыть,быть вынужденным помыть,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить помыть
aru,ある,ある,aru,быть,N5,aru,a,あり,あった,あって,ない,あれば,あったら,,,,,,あれ,あるな,あろう,ありたい,なければ,なきゃ,なくちゃ,быть,побыть,есть,будет,был(а),был(а),будет,будет,будучи,,,Пассив: быть,заставить побыть,быть вынужденным побыть,あ,,る,ru,る,ru,り,ri,,,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,,,,,,,,,,,,,,,,,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ri|re|ro,,,,,быть; иметься,иметься,быть,побыть,есть,буду быть,был(а),побывал(а),будет,будет,побыв,будь,побудем,быть,побыть,побыть и затем…,non_agentive,Пассив: быть,exclude,grammar_label,заставить побыть,быть вынужденным побыть,1,0,0,0,0,0,0,0,0,0,0,0,1,разрешить побыть
aruku,歩く,あるく,aruku,ходить пешком,N5,godan-ku,aruk,歩き,歩いた,歩いて,歩かない,歩けば,歩いたら,歩ける,,歩かれる,歩かせる,歩かせられる,歩け,歩くな,歩こう,歩きたい,歩かなければ,歩かなきゃ,歩かなくちゃ,ходить,пройтись,хожу,буду ходить,ходил(а),прошёлся / прошлась,пройдусь,пройдусь,пройдясь,иди пешком,пройдёмся,Пассив: ходить,заставить пройтись,быть вынужденным пройтись,歩,歩,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,,ходить пешком,,ходить,пройтись,хожу,буду ходить,ходил(а),прошёлся / прошлась,пройдусь,пройдусь,пройдясь,иди пешком,пройдёмся,ходить,пройтись,пройтись и затем…,agentive,Пассив: ходить,contextual,grammar_label,заставить пройтись,быть вынужденным пройтись,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить пройтись
iu,言う,いう,iu,говорить,N5,godan-u,i,言い,言った,言って,言わない,言えば,言ったら,言える,,言われる,言わせる,言わせられる,言え,言うな,言おう,言いたい,言わなければ,言わなきゃ,言わなくちゃ,говорить,сказать,говорю,буду говорить,говорил(а),сказал(а),скажу,скажу,сказав,скажи,скажем,Пассив: говорить,заставить сказать,быть вынужденным сказать,言,言,う,u,う,u,い,i,わ,wa,え,e,え,e,って,tte,って,tte,った,tta,った,tta,え,e,え,e,われ,ware,わ|れ,wa|re,わせ,wase,わ|せ,wa|se,わせられ,waserare,わ|せ|ら|れ,wa|se|ra|re,え,e,え,e,おう,ou,お|う,o|u,wa|i|e|o,,,,,говорить; сказать,сказать,говорить,сказать,говорю,буду говорить,говорил(а),сказал(а),скажу,скажу,сказав,скажи,скажем,говорить,сказать,сказать и затем…,agentive,Пассив: говорить,contextual,grammar_label,заставить сказать,быть вынужденным сказать,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить сказать
